TimeStamp,Select enzymes Step,AMSA Wash Step
2018-09-22 01:56,'',9.472
2018-09-22 02:11,5.212,''
2018-09-22 02:11,'',11.147
2018-09-22 02:27,5.265,''
2018-09-22 02:27,'',11.956
2018-09-22 02:42,5.031,''
TimeStamp,Select enzymes Step,AMSA Wash Step
2018-09-24 17:30,5.504,''
2018-09-24 17:30,'',11.964
2018-09-24 17:46,4.98,''
2018-09-24 17:46,'',10.661
2018-09-24 18:01,5.188,''
2018-09-24 18:01,'',10.763
2018-09-24 18:17,5.219,''
2018-09-24 18:17,'',11.266
2018-09-24 18:32,5.699,''
2018-09-24 18:32,'',11.391
2018-09-24 18:48,5.152,''
2018-09-24 18:48,'',11.292
2018-09-24 19:03,5.366,''
2018-09-24 19:04,'',23.106
2018-09-24 19:19,5.001,''
2018-09-24 19:19,'',11.187
2018-09-24 19:34,5.289,''
2018-09-24 19:34,'',11.344
2018-09-24 19:50,5.165,''
2018-09-24 19:50,'',11.452
2018-09-24 20:05,5.402,''
2018-09-24 20:06,'',11.519
2018-09-24 20:21,5.249,''
2018-09-24 20:21,'',11.565
2018-09-24 20:36,4.994,''
2018-09-24 20:37,'',10.836
2018-09-24 20:52,4.997,''
2018-09-24 20:52,'',11.112
2018-09-24 21:07,5.222,''
2018-09-24 21:08,'',11.175
2018-09-24 21:23,4.944,''
2018-09-24 21:23,'',10.558
2018-09-24 21:38,5.069,''
2018-09-24 21:38,'',11.104
2018-09-24 21:54,5.076,''
2018-09-24 21:54,'',11.471
2018-09-24 22:09,5.23,''
2018-09-24 22:09,'',10.988
2018-09-24 22:25,5.131,''
2018-09-24 22:25,'',10.642
2018-09-24 22:40,8.465,''
2018-09-24 22:41,'',11.033
2018-09-24 22:56,5.228,''
2018-09-24 22:56,'',10.79
2018-09-24 23:11,4.968,''
2018-09-24 23:12,'',10.92
2018-09-24 23:27,5.1,''
2018-09-24 23:27,'',11.013
2018-09-24 23:42,5.163,''
2018-09-24 23:43,'',10.816
2018-09-24 23:58,5.201,''
2018-09-24 23:58,'',10.782
2018-09-25 00:13,5.167,''
2018-09-25 00:13,'',10.903
2018-09-25 00:29,5.182,''
2018-09-25 00:29,'',10.611
2018-09-25 00:44,5.153,''
2018-09-25 00:44,'',10.377
2018-09-25 01:00,23.178,''
2018-09-25 01:00,'',18.026
2018-09-25 01:16,5.386,''
2018-09-25 01:16,'',11.068
2018-09-25 01:31,5.217,''
2018-09-25 01:31,'',10.473
2018-09-25 01:47,5.161,''
2018-09-25 01:47,'',10.809
2018-09-25 02:02,5.349,''
2018-09-25 02:02,'',10.777
2018-09-25 02:18,4.798,''
2018-09-25 02:18,'',10.558
2018-09-25 02:33,5.3,''
2018-09-25 02:33,'',10.669
2018-09-25 02:49,5.22,''
2018-09-25 02:49,'',10.679
2018-09-25 03:04,5.344,''
2018-09-25 03:04,'',10.753
2018-09-25 03:20,5.349,''
2018-09-25 03:20,'',10.744
2018-09-25 03:35,5.266,''
2018-09-25 03:35,'',10.513
2018-09-25 03:51,5.482,''
2018-09-25 03:51,'',12.031
2018-09-25 04:06,5.216,''
2018-09-25 04:06,'',11.337
2018-09-25 04:22,5.135,''
2018-09-25 04:22,'',10.999
2018-09-25 04:37,5.227,''
2018-09-25 04:37,'',10.791
2018-09-25 04:53,5.111,''
2018-09-25 04:53,'',10.469
2018-09-25 05:08,5.279,''
2018-09-25 05:08,'',11.266
2018-09-25 05:24,5.52,''
2018-09-25 05:24,'',10.681
2018-09-25 05:39,5.281,''
2018-09-25 05:39,'',10.443
2018-09-25 05:55,5.387,''
2018-09-25 05:55,'',10.958
2018-09-25 06:10,4.516,''
2018-09-25 06:10,'',11.196
2018-09-25 06:26,5.253,''
2018-09-25 06:26,'',12.12
2018-09-25 06:41,5.181,''
2018-09-25 06:41,'',10.951
2018-09-25 06:57,5.22,''
2018-09-25 06:57,'',11.284
2018-09-25 07:12,5.135,''
2018-09-25 07:12,'',11.749
2018-09-25 07:28,5.222,''
2018-09-25 07:28,'',10.535
2018-09-25 07:43,5.265,''
2018-09-25 07:43,'',10.892
2018-09-25 07:59,5.177,''
2018-09-25 07:59,'',10.975
2018-09-25 08:14,5.173,''
2018-09-25 08:14,'',11.148
2018-09-25 08:30,5.471,''
2018-09-25 08:30,'',10.746
2018-09-25 08:45,5.311,''
2018-09-25 08:45,'',11.401
2018-09-25 09:01,5.119,''
2018-09-25 09:01,'',11.113
2018-09-25 09:16,5.167,''
2018-09-25 09:16,'',11.191
2018-09-25 09:32,5.084,''
2018-09-25 09:32,'',11.607
2018-09-25 09:47,5.201,''
2018-09-25 09:47,'',11.352
2018-09-25 10:03,5.846,''
2018-09-25 10:03,'',11.338
2018-09-25 10:18,5.165,''
2018-09-25 10:18,'',11.106
2018-09-25 10:34,5.164,''
2018-09-25 10:34,'',11.314
2018-09-25 10:49,4.889,''
2018-09-25 10:49,'',10.892
2018-09-25 11:05,5.108,''
2018-09-25 11:05,'',11.279
2018-09-25 11:20,5.129,''
2018-09-25 11:20,'',11.286
2018-09-25 11:36,5.372,''
2018-09-25 11:36,'',10.966
2018-09-25 11:51,5.024,''
2018-09-25 11:51,'',11.058
2018-09-25 12:07,5.173,''
2018-09-25 12:07,'',11.338
2018-09-25 12:22,5.263,''
2018-09-25 12:23,'',11.315
2018-09-25 12:38,4.951,''
2018-09-25 12:38,'',11.092
2018-09-25 12:53,4.686,''
2018-09-25 12:54,'',11.074
2018-09-25 13:09,5.648,''
2018-09-25 13:09,'',11.314
2018-09-25 13:24,5.211,''
2018-09-25 13:24,'',8.973
2018-09-25 13:40,5.412,''
2018-09-25 13:40,'',10.592
2018-09-25 13:55,5.127,''
2018-09-25 13:55,'',10.408
2018-09-25 14:11,5.215,''
2018-09-25 14:11,'',11.307
2018-09-25 14:26,5.288,''
2018-09-25 14:26,'',10.671
2018-09-25 14:42,5.174,''
2018-09-25 14:42,'',10.463
2018-09-25 14:57,5.129,''
2018-09-25 14:57,'',10.975
2018-09-25 15:13,5.143,''
2018-09-25 15:13,'',10.916
2018-09-25 15:28,5.194,''
2018-09-25 15:28,'',9.518
2018-09-25 15:44,5.5,''
2018-09-25 15:44,'',10.858
2018-09-25 15:59,5.154,''
2018-09-25 15:59,'',10.77
2018-09-25 16:15,5.092,''
2018-09-25 16:15,'',11.661
2018-09-25 16:30,5.384,''
2018-09-25 16:30,'',10.881
2018-09-25 16:46,5.256,''
2018-09-25 16:46,'',11.456
2018-09-25 17:01,5.458,''
2018-09-25 17:01,'',11.216
2018-09-25 17:17,5.592,''
2018-09-25 17:17,'',11.177
2018-09-25 17:32,5.242,''
2018-09-25 17:32,'',11.032
2018-09-25 17:48,5.17,''
2018-09-25 17:48,'',11.478
2018-09-25 18:03,5.253,''
2018-09-25 18:03,'',11.158
2018-09-25 18:19,5.683,''
2018-09-25 18:19,'',10.845
2018-09-25 18:34,5.797,''
2018-09-25 18:34,'',11.786
2018-09-25 18:50,5.322,''
2018-09-25 18:50,'',11.061
2018-09-25 19:05,5.597,''
